boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
500,0.7541868473693913,0.6413167053619139,1.1336812452815386,0.6594642857142857,0.6574674219157551,4.5848126319469884e-05,9.986279487609863,0,0,5600,0.5113615000154823,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
550,0.7472203611077334,0.6377520010310429,1.0994453584253072,0.6594642857142857,0.6613801866469011,2.5172152163577266e-05,9.984803199768066,0,0,5600,0.4972425000742078,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
600,0.7406565079721527,0.6393171167830393,1.10057490465749,0.6594642857142857,0.6675460175628762,1.405529837938957e-05,10.000250816345215,0,0,5600,0.5286322999745607,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
650,0.7379153527850452,0.6426068617353171,1.1016391537160888,0.6594642857142857,0.6768337239510452,1.1645642189250793e-05,9.970097541809082,0,0,5600,0.565375299891457,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
700,0.7402481830908024,0.640937433464236,1.0991723601043202,0.6594642857142857,0.6738855888672485,6.697594926663442e-06,10.10238265991211,0,0,5600,0.5376001999247819,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
750,0.7427840921527858,0.6447877302182079,1.1108142888571184,0.6594642857142857,0.6746117356028297,5.389619218476582e-06,10.067234992980957,0,0,5600,0.5421949999872595,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
800,0.7437358025895021,0.6415105105872237,1.0981261818760144,0.6594642857142857,0.673304540002235,4.393240487843286e-06,10.05828857421875,0,0,5600,0.5403586998581886,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
850,0.7481664625605627,0.6439228386502324,1.1010098021579227,0.6594642857142857,0.6769993769532678,3.5019786537304753e-06,10.068565368652344,0,0,5600,0.5404775999486446,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
900,0.7451776051247222,0.6439343584515422,1.1010051732265704,0.6594642857142857,0.6757593730839245,2.702147867239546e-06,9.84183120727539,0,0,5600,0.5354101001285017,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
950,0.743041262623296,0.639922094327205,1.0956713643561464,0.6594642857142857,0.6647983189087356,1.9990243345091585e-06,9.784188270568848,0,0,5600,0.5656200000084937,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
