level,hierarchy_series,level_weight_share,naive_level_wrmsse,naive_wrmsse_contribution,xgb_level_wrmsse,xgb_wrmsse_contribution,fold,demand_type,level_wrmsse_difference,xgb_better
L11_Item_State,171,0.08333333333333333,1.0474034837542436,0.08728362364618696,0.8721732302174662,0.07268110251812218,3,erratic,0.17523025353677746,True
L12_Item_Store,200,0.08333333333333333,1.0558530404631343,0.08798775337192785,0.8794661798960663,0.0732888483246722,3,erratic,0.17638686056706798,True
L1_Total,1,0.08333333333333333,0.6590905959255058,0.05492421632712548,0.6057195799860315,0.050476631665502626,3,erratic,0.05337101593947424,True
L2_State,3,0.08333333333333333,0.6911050188430646,0.05759208490358872,0.6750957528812602,0.056257979406771685,3,erratic,0.01600926596180441,True
L3_Store,10,0.08333333333333333,0.8247729648361861,0.06873108040301551,0.7364414023666572,0.0613701168638881,3,erratic,0.08833156246952889,True
L4_Category,3,0.08333333333333334,0.6789141688091224,0.05657618073409354,0.569097420046194,0.04742478500384951,3,erratic,0.10981674876292835,True
L5_Department,5,0.08333333333333334,0.7402899116481227,0.061690825970676905,0.6026006799408558,0.050216723328404655,3,erratic,0.137689231707267,True
L6_State_Category,9,0.08333333333333333,0.6900449131414489,0.05750374276178741,0.6277498628391491,0.052312488569929094,3,erratic,0.06229505030229976,True
L7_State_Department,15,0.08333333333333333,0.8113022667872783,0.06760852223227319,0.7295624128544163,0.06079686773786802,3,erratic,0.0817398539328621,True
L8_Store_Category,25,0.08333333333333333,0.8224336034762736,0.0685361336230228,0.6981399031741506,0.058178325264512554,3,erratic,0.12429370030212294,True
L9_Store_Department,39,0.08333333333333333,0.934738403870423,0.07789486698920191,0.7975494952399116,0.0664624579366593,3,erratic,0.13718890863051136,True
L10_Item,191,0.08333333333333333,1.1408262900136978,0.09506885750114148,0.8633492559490685,0.07194577132908904,3,intermittent,0.2774770340646293,True
L11_Item_State,198,0.08333333333333333,1.142105060725485,0.09517542172712375,0.8617908216476166,0.07181590180396805,3,intermittent,0.28031423907786845,True
L12_Item_Store,200,0.08333333333333333,1.142731923742966,0.09522766031191383,0.8608690282290639,0.07173908568575532,3,intermittent,0.2818628955139022,True
L1_Total,1,0.08333333333333333,2.280363750784457,0.19003031256537142,2.6406566527418844,0.2200547210618237,3,intermittent,-0.36029290195742725,False
L2_State,3,0.08333333333333334,1.9231031293843786,0.1602585941153649,2.0141585981175885,0.1678465498431324,3,intermittent,-0.09105546873320991,False
L3_Store,10,0.08333333333333333,1.5486800109046897,0.1290566675753908,1.518994956807369,0.12658291306728076,3,intermittent,0.029685054097320585,True
L4_Category,3,0.08333333333333334,1.7874445581506264,0.14895371317921888,1.9670793711673034,0.16392328093060862,3,intermittent,-0.17963481301667694,False
L5_Department,7,0.08333333333333334,1.8319438405117592,0.15266198670931327,1.7254949551817698,0.1437912462651475,3,intermittent,0.10644888532998942,True
L6_State_Category,9,0.08333333333333333,1.614823527581118,0.1345686272984265,1.5570908790636455,0.1297575732553038,3,intermittent,0.05773264851747251,True
L7_State_Department,21,0.08333333333333333,1.5394222689241888,0.12828518907701572,1.3052421683744144,0.10877018069786785,3,intermittent,0.23418010054977434,True
L8_Store_Category,30,0.08333333333333333,1.396750325752616,0.11639586047938466,1.241343451852791,0.10344528765439925,3,intermittent,0.15540687389982488,True
L9_Store_Department,60,0.08333333333333333,1.3509465567339172,0.11257887972782643,1.107749405749606,0.09231245047913383,3,intermittent,0.24319715098431116,True
L10_Item,182,0.08333333333333333,1.4019222838573642,0.11682685698811367,1.0676557548263856,0.0889713129021988,3,lumpy,0.33426652903097853,True
L11_Item_State,197,0.08333333333333333,1.3970073677105308,0.11641728064254422,1.0614137683901497,0.0884511473658458,3,lumpy,0.33559359932038113,True
L12_Item_Store,200,0.08333333333333333,1.3974202869052421,0.11645169057543683,1.0556473403026463,0.08797061169188719,3,lumpy,0.34177294660259583,True
L1_Total,1,0.08333333333333333,0.8556958588319898,0.07130798823599915,0.6524501056331572,0.05437084213609643,3,lumpy,0.20324575319883265,True
L2_State,3,0.08333333333333334,1.1987721334849695,0.09989767779041413,0.8024048277934037,0.06686706898278365,3,lumpy,0.39636730569156575,True
L3_Store,10,0.08333333333333333,1.3005925623748629,0.10838271353123856,0.9070067342307008,0.07558389451922506,3,lumpy,0.3935858281441621,True
L4_Category,3,0.08333333333333333,0.9349699371687025,0.0779141614307252,0.7869443681010426,0.06557869734175355,3,lumpy,0.14802556906765985,True
L5_Department,7,0.08333333333333333,1.257324976870755,0.10477708140589626,0.9087119717599292,0.07572599764666077,3,lumpy,0.3486130051108258,True
L6_State_Category,9,0.08333333333333333,1.1559106067660707,0.09632588389717255,0.8274222351424186,0.06895185292853488,3,lumpy,0.3284883716236521,True
L7_State_Department,21,0.08333333333333333,1.3618008839206026,0.11348340699338354,0.9490484037189694,0.07908736697658078,3,lumpy,0.41275248020163324,True
L8_Store_Category,30,0.08333333333333333,1.2880306420788108,0.10733588683990089,0.9204967462373076,0.0767080621864423,3,lumpy,0.3675338958415032,True
L9_Store_Department,59,0.08333333333333333,1.405379308569726,0.11711494238081048,0.9757433790685199,0.08131194825570999,3,lumpy,0.429635929501206,True
L10_Item,142,0.08333333333333333,0.9097172508880091,0.0758097709073341,0.7048494760955367,0.05873745634129472,3,smooth,0.20486777479247242,True
L11_Item_State,180,0.08333333333333333,0.9219038325998951,0.07682531938332458,0.7214183608790772,0.060118196739923094,3,smooth,0.20048547172081788,True
L12_Item_Store,200,0.08333333333333333,0.9236533896787075,0.07697111580655895,0.7248941421829821,0.06040784518191517,3,smooth,0.19875924749572538,True
