fold,demand_type,level,hierarchy_series,level_weight_share,wrmsse_contribution,invalid_scale_count,minimum_test_days,maximum_test_days,level_wrmsse,weight_difference
3,intermittent,L12_Item_Store,200,0.08333333333333333,0.09522766031191383,0,28,28,1.142731923742966,0.0
3,intermittent,L1_Total,1,0.08333333333333333,0.19003031256537142,0,28,28,2.280363750784457,0.0
3,intermittent,L2_State,3,0.08333333333333334,0.1602585941153649,0,28,28,1.9231031293843786,1.3877787807814457e-17
3,intermittent,L3_Store,10,0.08333333333333333,0.1290566675753908,0,28,28,1.5486800109046897,0.0
3,intermittent,L4_Category,3,0.08333333333333334,0.14895371317921888,0,28,28,1.7874445581506264,1.3877787807814457e-17
3,intermittent,L5_Department,7,0.08333333333333334,0.15266198670931327,0,28,28,1.8319438405117592,1.3877787807814457e-17
3,intermittent,L6_State_Category,9,0.08333333333333333,0.1345686272984265,0,28,28,1.614823527581118,0.0
3,intermittent,L7_State_Department,21,0.08333333333333333,0.12828518907701572,0,28,28,1.5394222689241888,0.0
3,intermittent,L8_Store_Category,30,0.08333333333333333,0.11639586047938466,0,28,28,1.396750325752616,0.0
3,intermittent,L9_Store_Department,60,0.08333333333333333,0.11257887972782643,0,28,28,1.3509465567339172,0.0
3,lumpy,L10_Item,182,0.08333333333333333,0.11682685698811367,0,28,28,1.4019222838573642,0.0
3,lumpy,L11_Item_State,197,0.08333333333333333,0.11641728064254422,0,28,28,1.3970073677105308,0.0
3,lumpy,L12_Item_Store,200,0.08333333333333333,0.11645169057543683,0,28,28,1.3974202869052421,0.0
3,lumpy,L1_Total,1,0.08333333333333333,0.07130798823599915,0,28,28,0.8556958588319898,0.0
3,lumpy,L2_State,3,0.08333333333333334,0.09989767779041413,0,28,28,1.1987721334849695,1.3877787807814457e-17
3,lumpy,L3_Store,10,0.08333333333333333,0.10838271353123856,0,28,28,1.3005925623748629,0.0
3,lumpy,L4_Category,3,0.08333333333333333,0.0779141614307252,0,28,28,0.9349699371687025,0.0
3,lumpy,L5_Department,7,0.08333333333333333,0.10477708140589626,0,28,28,1.257324976870755,0.0
3,lumpy,L6_State_Category,9,0.08333333333333333,0.09632588389717255,0,28,28,1.1559106067660707,0.0
3,lumpy,L7_State_Department,21,0.08333333333333333,0.11348340699338354,0,28,28,1.3618008839206026,0.0
3,lumpy,L8_Store_Category,30,0.08333333333333333,0.10733588683990089,0,28,28,1.2880306420788108,0.0
