method,demand_type,fold,level,wrmsse
sba,lumpy,3,L8_Store_Category,1.0953427664639381
sba,lumpy,3,L9_Store_Department,1.1461847500864382
sba,lumpy,3,L10_Item,1.1494592453789263
sba,lumpy,3,L11_Item_State,1.145020524946046
sba,lumpy,3,L12_Item_Store,1.1387811087773454
sba,lumpy,4,L1_Total,0.7427461459636553
sba,lumpy,4,L2_State,0.8722373091499358
sba,lumpy,4,L3_Store,1.0271040679445647
sba,lumpy,4,L4_Category,0.7914265149681688
sba,lumpy,4,L5_Department,1.0377075753501364
sba,lumpy,4,L6_State_Category,0.9030698327658271
sba,lumpy,4,L7_State_Department,1.0898720926387953
sba,lumpy,4,L8_Store_Category,1.1448995903403392
sba,lumpy,4,L9_Store_Department,1.1759358942571514
sba,lumpy,4,L10_Item,1.0861360960296287
sba,lumpy,4,L11_Item_State,1.0865349518794145
sba,lumpy,4,L12_Item_Store,1.0854845873511685
sba,lumpy,5,L1_Total,0.967875840844632
sba,lumpy,5,L2_State,0.9542882640036761
sba,lumpy,5,L3_Store,1.0272473860051194
sba,lumpy,5,L4_Category,0.9813578593731975
sba,lumpy,5,L5_Department,1.0749089837068981
sba,lumpy,5,L6_State_Category,1.0111780036778855
sba,lumpy,5,L7_State_Department,1.0789562635021748
sba,lumpy,5,L8_Store_Category,1.070419932084029
sba,lumpy,5,L9_Store_Department,1.1330934174493013
sba,lumpy,5,L10_Item,1.0441523370732189
sba,lumpy,5,L11_Item_State,1.0202241722565402
sba,lumpy,5,L12_Item_Store,1.023301168374522
