fold,demand_type,model,level,level_name,series_count,weight_sum,wrmsse_contribution,level_normalised_wrmsse
3,erratic,XGBoost,10,Item,119,0.08333333333333334,0.07005500487164856,0.8406600584597826
3,erratic,XGBoost,11,Item × State,171,0.08333333333333331,0.0726811025181222,0.8721732302174665
3,erratic,XGBoost,12,Item × Store,200,0.08333333333333333,0.07328884832467221,0.8794661798960666
3,smooth,LSTM,1,Total,1,0.08333333333333333,0.08979132601831875,1.077495912219825
3,smooth,LSTM,2,State,3,0.08333333333333333,0.08308109091199736,0.9969730909439684
3,smooth,LSTM,3,Store,10,0.08333333333333333,0.08079211435763903,0.9695053722916683
3,smooth,LSTM,4,Category,3,0.08333333333333333,0.08641989116771974,1.037038694012637
3,smooth,LSTM,5,Department,5,0.08333333333333333,0.08461938474801153,1.0154326169761385
3,smooth,LSTM,6,State × Category,9,0.08333333333333333,0.08011731529836552,0.9614077835803863
3,smooth,LSTM,7,State × Department,14,0.08333333333333333,0.07755643313236303,0.9306771975883564
3,smooth,LSTM,8,Store × Category,29,0.08333333333333334,0.0761526090647507,0.9138313087770084
3,smooth,LSTM,9,Store × Department,39,0.08333333333333331,0.07357005444456192,0.8828406533347433
3,smooth,LSTM,10,Item,142,0.08333333333333334,0.06428278018370717,0.771393362204486
3,smooth,LSTM,11,Item × State,180,0.08333333333333333,0.06453871248799725,0.774464549855967
3,smooth,LSTM,12,Item × Store,200,0.08333333333333333,0.06438937699606939,0.7726725239528327
3,smooth,XGBoost,1,Total,1,0.08333333333333333,0.03781282740558937,0.45375392886707244
3,smooth,XGBoost,2,State,3,0.08333333333333333,0.04338799326539325,0.520655919184719
3,smooth,XGBoost,3,Store,10,0.08333333333333333,0.051264765525751405,0.6151771863090169
3,smooth,XGBoost,4,Category,3,0.08333333333333333,0.044077414913060164,0.528928978956722
3,smooth,XGBoost,5,Department,5,0.08333333333333333,0.04631439938134134,0.5557727925760961
3,smooth,XGBoost,6,State × Category,9,0.08333333333333333,0.05059365720284722,0.6071238864341667
3,smooth,XGBoost,7,State × Department,14,0.08333333333333333,0.052070627234998515,0.6248475268199822
3,smooth,XGBoost,8,Store × Category,29,0.08333333333333334,0.05630219508086043,0.675626340970325
3,smooth,XGBoost,9,Store × Department,39,0.08333333333333331,0.057435140760710775,0.6892216891285294
3,smooth,XGBoost,10,Item,142,0.08333333333333334,0.05873745634129472,0.7048494760955366
3,smooth,XGBoost,11,Item × State,180,0.08333333333333333,0.06011819673992309,0.7214183608790771
3,smooth,XGBoost,12,Item × Store,200,0.08333333333333333,0.060407845181915165,0.724894142182982
4,erratic,LSTM,1,Total,1,0.08333333333333333,0.09357380767780885,1.1228856921337063
4,erratic,LSTM,2,State,3,0.08333333333333334,0.09060740628378137,1.0872888754053764
4,erratic,LSTM,3,Store,10,0.08333333333333333,0.09273679784543166,1.11284157414518
4,erratic,LSTM,4,Category,3,0.08333333333333334,0.08113828135932728,0.9736593763119273
4,erratic,LSTM,5,Department,5,0.08333333333333334,0.0757433084262128,0.9089197011145534
4,erratic,LSTM,6,State × Category,9,0.08333333333333334,0.0832944372264178,0.9995332467170135
4,erratic,LSTM,7,State × Department,15,0.08333333333333333,0.08944385327791274,1.073326239334953
4,erratic,LSTM,8,Store × Category,25,0.08333333333333334,0.09273461498071883,1.1128153797686258
4,erratic,LSTM,9,Store × Department,39,0.08333333333333334,0.09471710131366216,1.136605215763946
4,erratic,LSTM,10,Item,119,0.08333333333333333,0.09536710090654432,1.1444052108785319
4,erratic,LSTM,11,Item × State,171,0.08333333333333331,0.09477665497815792,1.1373198597378953
4,erratic,LSTM,12,Item × Store,200,0.08333333333333333,0.09482575455447459,1.1379090546536952
4,erratic,XGBoost,1,Total,1,0.08333333333333333,0.026731739235091062,0.32078087082109275
4,erratic,XGBoost,2,State,3,0.08333333333333334,0.044894728772393595,0.5387367452687231
4,erratic,XGBoost,3,Store,10,0.08333333333333333,0.05554353722219023,0.6665224466662828
4,erratic,XGBoost,4,Category,3,0.08333333333333334,0.03078321165632489,0.36939853987589866
4,erratic,XGBoost,5,Department,5,0.08333333333333334,0.036004605618059925,0.43205526741671907
4,erratic,XGBoost,6,State × Category,9,0.08333333333333334,0.052682396747429916,0.6321887609691589
4,erratic,XGBoost,7,State × Department,15,0.08333333333333333,0.05804848499714833,0.69658181996578
