fold,demand_type,level,level_name,LSTM,XGBoost,lstm_minus_xgb_level_wrmsse,lstm_better_than_xgb,xgb_better_than_lstm
3,erratic,5,Department,1.1636506282904937,0.6026006799408559,0.5610499483496378,False,True
3,erratic,6,State × Category,1.1105979148966267,0.6277498628391491,0.4828480520574776,False,True
3,erratic,7,State × Department,1.2115730185489582,0.7295624128544163,0.4820106056945419,False,True
3,erratic,8,Store × Category,1.140377879813383,0.6981399031741505,0.4422379766392325,False,True
3,erratic,9,Store × Department,1.1961875718514245,0.7975494952399116,0.39863807661151296,False,True
3,erratic,10,Item,1.182328010108678,0.8406600584597826,0.3416679516488953,False,True
3,erratic,11,Item × State,1.1909470216420988,0.8721732302174665,0.31877379142463225,False,True
3,erratic,12,Item × Store,1.1870048557515567,0.8794661798960666,0.3075386758554901,False,True
3,smooth,1,Total,1.077495912219825,0.45375392886707244,0.6237419833527527,False,True
3,smooth,2,State,0.9969730909439684,0.520655919184719,0.47631717175924937,False,True
3,smooth,3,Store,0.9695053722916683,0.6151771863090169,0.3543281859826515,False,True
3,smooth,4,Category,1.037038694012637,0.528928978956722,0.5081097150559151,False,True
3,smooth,5,Department,1.0154326169761385,0.5557727925760961,0.4596598244000424,False,True
3,smooth,6,State × Category,0.9614077835803863,0.6071238864341667,0.35428389714621955,False,True
3,smooth,7,State × Department,0.9306771975883564,0.6248475268199822,0.3058296707683742,False,True
3,smooth,8,Store × Category,0.9138313087770084,0.675626340970325,0.23820496780668332,False,True
3,smooth,9,Store × Department,0.8828406533347433,0.6892216891285294,0.19361896420621383,False,True
3,smooth,10,Item,0.771393362204486,0.7048494760955366,0.06654388610894935,False,True
3,smooth,11,Item × State,0.774464549855967,0.7214183608790771,0.05304618897688995,False,True
3,smooth,12,Item × Store,0.7726725239528327,0.724894142182982,0.04777838176985072,False,True
4,erratic,1,Total,1.1228856921337063,0.32078087082109275,0.8021048213126135,False,True
4,erratic,2,State,1.0872888754053764,0.5387367452687231,0.5485521301366534,False,True
4,erratic,3,Store,1.11284157414518,0.6665224466662828,0.44631912747889724,False,True
4,erratic,4,Category,0.9736593763119273,0.36939853987589866,0.6042608364360287,False,True
4,erratic,5,Department,0.9089197011145534,0.43205526741671907,0.4768644336978344,False,True
4,erratic,6,State × Category,0.9995332467170135,0.6321887609691589,0.3673444857478546,False,True
4,erratic,7,State × Department,1.073326239334953,0.69658181996578,0.376744419369173,False,True
4,erratic,8,Store × Category,1.1128153797686258,0.7399646524329566,0.37285072733566915,False,True
4,erratic,9,Store × Department,1.136605215763946,0.795004872575742,0.34160034318820387,False,True
4,erratic,10,Item,1.1444052108785319,0.8421317402712941,0.30227347060723775,False,True
4,erratic,11,Item × State,1.1373198597378953,0.84966512222053,0.28765473751736526,False,True
4,erratic,12,Item × Store,1.1379090546536952,0.8542108023403597,0.28369825231333545,False,True
4,smooth,1,Total,0.8402025718068855,0.3189175136837242,0.5212850581231614,False,True
4,smooth,2,State,0.7863594347321045,0.4092255144918137,0.37713392024029074,False,True
4,smooth,3,Store,0.7532960676867075,0.5316479114257978,0.22164815626090972,False,True
4,smooth,4,Category,0.8244144494644308,0.4097705054598336,0.41464394400459714,False,True
4,smooth,5,Department,0.8081243343844877,0.4510732189010051,0.3570511154834826,False,True
4,smooth,6,State × Category,0.7609029360765206,0.4801496517244704,0.2807532843520502,False,True
4,smooth,7,State × Department,0.7378664060953581,0.5122586774530962,0.22560772864226197,False,True
4,smooth,8,Store × Category,0.7495053896200224,0.5892376285817041,0.1602677610383183,False,True
4,smooth,9,Store × Department,0.733753266602419,0.6150076667641541,0.11874559983826494,False,True
4,smooth,10,Item,0.7663498857816228,0.7093533977618628,0.05699648801975998,False,True
4,smooth,11,Item × State,0.7672023510779307,0.7177051258582519,0.04949722521967881,False,True
4,smooth,12,Item × Store,0.7650514305499635,0.7220618795066309,0.042989551043332574,False,True
5,erratic,1,Total,1.30282186679787,0.5569283705351123,0.7458934962627576,False,True
5,erratic,2,State,1.1481075434573145,0.5657953268696355,0.582312216587679,False,True
5,erratic,3,Store,1.112820649279022,0.6440509981454674,0.4687696511335546,False,True
5,erratic,4,Category,1.2388891913724582,0.654892102056283,0.5839970893161752,False,True
5,erratic,5,Department,1.128875117592,0.6438025284999378,0.4850725890920622,False,True
5,erratic,6,State × Category,1.0763336469104805,0.645495791863226,0.43083785504725447,False,True
5,erratic,7,State × Department,1.1782200487619983,0.7218089759981748,0.4564110727638234,False,True
5,erratic,8,Store × Category,1.0665825981229307,0.7026956735186457,0.36388692460428496,False,True
5,erratic,9,Store × Department,1.110991304331649,0.8176105553442644,0.29338074898738464,False,True
5,erratic,10,Item,1.092972284723079,0.8730624987245904,0.21990978599848854,False,True
5,erratic,11,Item × State,1.1212875356224667,0.9119418293481671,0.2093457062742996,False,True
5,erratic,12,Item × Store,1.1268879767009645,0.9223740942955976,0.20451388240536694,False,True
5,smooth,1,Total,1.0585236321261549,0.47240358058963106,0.5861200515365238,False,True
5,smooth,2,State,0.9796923543475421,0.5524770397058529,0.42721531464168916,False,True
5,smooth,3,Store,0.9291844630619166,0.6321486721714268,0.2970357908904898,False,True
5,smooth,4,Category,1.0232844587029257,0.5178634395791359,0.5054210191237898,False,True
5,smooth,5,Department,1.0055358510824057,0.5335176871287142,0.47201816395369156,False,True
5,smooth,6,State × Category,0.9366392776279626,0.6204029175988467,0.3162363600291159,False,True
5,smooth,7,State × Department,0.8966706901741076,0.6224541641074618,0.2742165260666458,False,True
5,smooth,8,Store × Category,0.8637681900934323,0.6623142399623191,0.20145395013111322,False,True
5,smooth,9,Store × Department,0.8280571774141713,0.6707017773769304,0.1573554000372409,False,True
5,smooth,10,Item,0.8177030869952405,0.7532145175566237,0.0644885694386168,False,True
5,smooth,11,Item × State,0.8183369608805003,0.7663012188004288,0.052035742080071556,False,True
5,smooth,12,Item × Store,0.8078753925946557,0.7614043301299592,0.046471062464696455,False,True
