fold,demand_type,ablation_name,removed_feature_group,removed_features,removed_feature_count,retained_feature_count,training_rows,selected_rounds,train_end,test_start,test_end,full_xgb_wrmsse,ablation_wrmsse,delta_wrmsse,wrmsse_change_percentage,full_xgb_mae,ablation_mae,delta_mae,mae_change_percentage,full_xgb_rmse,ablation_rmse,delta_rmse,rmse_change_percentage,feature_group_useful_wrmsse,feature_group_harmful_wrmsse,hierarchy_levels_worsened,prediction_rows,series_count,horizon_count,training_seconds,prediction_seconds
1,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,349000,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.3028128723707662,-0.23007051021221137,-15.00900282606836,1.470910811946534,1.4671804527465948,-0.0037303591999391372,-0.2536087959678912,3.022549206380416,2.851627152496212,-0.17092205388420423,-5.654897313942755,False,True,0,5600,200,28,8.628132399870083,0.3344834998715669
1,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,349000,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.5364487777029798,0.0035653951200023126,0.23259402251425426,1.470910811946534,1.4478687411104745,-0.02304207083605947,-1.566517197977944,3.022549206380416,2.979871347554663,-0.042677858825753034,-1.4119822676720264,True,False,6,5600,200,28,10.200623500160873,0.2827904000878334
1,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,349000,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.333327320878584,-0.19955606170439344,-13.018345946717258,1.470910811946534,1.4503777823742068,-0.020533029572327166,-1.3959398085567625,3.022549206380416,2.9142845336986927,-0.10826467268172335,-3.5818994262585786,False,True,0,5600,200,28,9.047878900077194,0.28528840001672506
1,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,349000,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.5581360995126436,0.02525271692966613,1.6473997445985857,1.470910811946534,1.478667475728015,0.007756663781480988,0.527337464547982,3.022549206380416,3.050060586088765,0.027511379708348827,0.910204527035457,True,False,12,5600,200,28,8.550205099862069,0.3131055000703782
1,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,349000,840,2016-01-03,2016-01-04,2016-01-31,1.5328833825829775,1.346796098928915,-0.18608728365406257,-12.139689539885097,1.470910811946534,1.5120437113528273,0.04113289940629339,2.7964237581379967,3.022549206380416,2.9939190588910694,-0.02863014748934667,-0.947218573941168,False,True,3,5600,200,28,9.680803399998695,0.26243939995765686
1,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,349000,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,0.8740153745763393,0.12387590257815262,16.51371607578225,2.6929001325801747,2.947368733812733,0.2544686012325581,9.449611523051232,4.8039447513071085,5.1661318397475355,0.362187088440427,7.539368314797527,True,False,12,5600,200,28,6.056624799966812,0.2976889000274241
1,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,349000,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,0.7075284345514219,-0.042611037446764755,-5.680415314402727,2.6929001325801747,2.6844138680503655,-0.008486264529809162,-0.31513476594017376,4.8039447513071085,4.788625920053602,-0.015318831253506637,-0.3188802545936551,False,True,1,5600,200,28,5.831090499879792,0.23052929993718863
1,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,349000,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,0.7136782990542658,-0.03646117294392082,-4.8605858383637965,2.6929001325801747,2.6964477758459187,0.0035476432657439716,0.1317406175900342,4.8039447513071085,4.742405032042777,-0.06153971926433144,-1.2810247088621711,False,True,2,5600,200,28,5.676080700010061,0.22803719993680716
1,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,349000,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,0.6938012744199342,-0.056338197578252425,-7.510363029981791,2.6929001325801747,2.736841712361946,0.04394157978177127,1.6317567536256568,4.8039447513071085,4.903982858236967,0.10003810692985837,2.0824158500706935,False,True,2,5600,200,28,5.070202700095251,0.24169819988310337
1,smooth,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,349000,560,2016-01-03,2016-01-04,2016-01-31,0.7501394719981866,0.7417095229322177,-0.008429949065968945,-1.1237842268869864,2.6929001325801747,2.758652697290693,0.06575256471051816,2.441700823398824,4.8039447513071085,4.757173807268599,-0.04677094403850912,-0.9735945448952797,False,True,4,5600,200,28,8.289199100108817,0.23476030002348125
