fold_label,demand_type,level,hierarchy_series,level_weight_share,ablation_wrmsse_contribution,minimum_test_days,maximum_test_days,ablation_level_wrmsse,full_xgb_level_wrmsse,fold,ablation_name,removed_feature_group,delta_level_wrmsse,feature_group_useful_at_level
Step17_Fold2_lumpy_without_calendar,lumpy,L12_Item_Store,200,0.08333333333333333,0.094428894201129,28,28,1.133146730413548,1.1167441796691282,2,without_calendar,calendar,0.016402550744419875,True
Step17_Fold2_lumpy_without_calendar,lumpy,L1_Total,1,0.08333333333333333,0.11138421825712966,28,28,1.336610619085556,1.1321685857705828,2,without_calendar,calendar,0.20444203331497324,True
Step17_Fold2_lumpy_without_calendar,lumpy,L2_State,3,0.08333333333333334,0.10342545306156282,28,28,1.2411054367387537,1.142715533732969,2,without_calendar,calendar,0.09838990300578465,True
Step17_Fold2_lumpy_without_calendar,lumpy,L3_Store,10,0.08333333333333334,0.10580457457521991,28,28,1.2696548949026387,1.212813292664723,2,without_calendar,calendar,0.05684160223791568,True
Step17_Fold2_lumpy_without_calendar,lumpy,L4_Category,3,0.08333333333333334,0.1178593224196276,28,28,1.414311869035531,1.284399771408914,2,without_calendar,calendar,0.12991209762661704,True
Step17_Fold2_lumpy_without_calendar,lumpy,L5_Department,7,0.08333333333333333,0.12295404628811543,28,28,1.4754485554573853,1.403611919645848,2,without_calendar,calendar,0.07183663581153721,True
Step17_Fold2_lumpy_without_calendar,lumpy,L6_State_Category,9,0.08333333333333334,0.10575965778854615,28,28,1.2691158934625537,1.201557799161571,2,without_calendar,calendar,0.06755809430098281,True
Step17_Fold2_lumpy_without_calendar,lumpy,L7_State_Department,21,0.08333333333333333,0.11319320874478672,28,28,1.3583185049374407,1.3074902011488745,2,without_calendar,calendar,0.050828303788566176,True
Step17_Fold2_lumpy_without_calendar,lumpy,L8_Store_Category,30,0.08333333333333334,0.10898681712054886,28,28,1.3078418054465861,1.269733558568452,2,without_calendar,calendar,0.03810824687813419,True
Step17_Fold2_lumpy_without_calendar,lumpy,L9_Store_Department,59,0.08333333333333333,0.10383308049070074,28,28,1.245996965888409,1.2253307012783996,2,without_calendar,calendar,0.02066626461000931,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L10_Item,182,0.08333333333333333,0.09830105803644405,28,28,1.1796126964373288,1.1186990988394083,2,without_event_snap,event_snap,0.06091359759792048,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L11_Item_State,197,0.08333333333333333,0.09778940232736558,28,28,1.173472827928387,1.1131907521090254,2,without_event_snap,event_snap,0.060282075819361625,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L12_Item_Store,200,0.08333333333333333,0.09803069864150865,28,28,1.1763683836981038,1.1167441796691282,2,without_event_snap,event_snap,0.059624204028975614,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L1_Total,1,0.08333333333333333,0.09575848452857635,28,28,1.1491018143429164,1.1321685857705828,2,without_event_snap,event_snap,0.016933228572333592,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L2_State,3,0.08333333333333334,0.09581833386904476,28,28,1.1498200064285369,1.142715533732969,2,without_event_snap,event_snap,0.007104472695567798,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L3_Store,10,0.08333333333333334,0.10510406437984453,28,28,1.2612487725581343,1.212813292664723,2,without_event_snap,event_snap,0.04843547989341124,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L4_Category,3,0.08333333333333334,0.11389133624105369,28,28,1.366696034892644,1.284399771408914,2,without_event_snap,event_snap,0.08229626348373009,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L5_Department,7,0.08333333333333333,0.12605423671042876,28,28,1.512650840525145,1.403611919645848,2,without_event_snap,event_snap,0.10903892087929701,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L6_State_Category,9,0.08333333333333334,0.10466984950234433,28,28,1.2560381940281318,1.201557799161571,2,without_event_snap,event_snap,0.054480394866560866,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L7_State_Department,21,0.08333333333333333,0.1159266056761417,28,28,1.3911192681137006,1.3074902011488745,2,without_event_snap,event_snap,0.08362906696482608,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L8_Store_Category,30,0.08333333333333334,0.11190669965436209,28,28,1.342880395852345,1.269733558568452,2,without_event_snap,event_snap,0.07314683728389304,True
Step17_Fold2_lumpy_without_event_snap,lumpy,L9_Store_Department,59,0.08333333333333333,0.10939282721954806,28,28,1.3127139266345769,1.2253307012783996,2,without_event_snap,event_snap,0.08738322535617726,True
Step17_Fold2_lumpy_without_lag,lumpy,L10_Item,182,0.08333333333333333,0.0957036266305306,28,28,1.1484435195663674,1.1186990988394083,2,without_lag,lag,0.029744420726959042,True
Step17_Fold2_lumpy_without_lag,lumpy,L11_Item_State,197,0.08333333333333333,0.0951910258815676,28,28,1.1422923105788112,1.1131907521090254,2,without_lag,lag,0.029101558469785793,True
Step17_Fold2_lumpy_without_lag,lumpy,L12_Item_Store,200,0.08333333333333333,0.09545278823642978,28,28,1.1454334588371573,1.1167441796691282,2,without_lag,lag,0.028689279168029103,True
Step17_Fold2_lumpy_without_lag,lumpy,L1_Total,1,0.08333333333333333,0.09320879667075893,28,28,1.1185055600491072,1.1321685857705828,2,without_lag,lag,-0.013663025721475597,False
Step17_Fold2_lumpy_without_lag,lumpy,L2_State,3,0.08333333333333334,0.09513553344440023,28,28,1.1416264013328026,1.142715533732969,2,without_lag,lag,-0.0010891324001665037,False
Step17_Fold2_lumpy_without_lag,lumpy,L3_Store,10,0.08333333333333334,0.10250657366001949,28,28,1.2300788839202337,1.212813292664723,2,without_lag,lag,0.017265591255510637,True
Step17_Fold2_lumpy_without_lag,lumpy,L4_Category,3,0.08333333333333334,0.10757893912990078,28,28,1.2909472695588093,1.284399771408914,2,without_lag,lag,0.006547498149895414,True
Step17_Fold2_lumpy_without_lag,lumpy,L5_Department,7,0.08333333333333333,0.11920622457186549,28,28,1.4304746948623859,1.403611919645848,2,without_lag,lag,0.026862775216537793,True
Step17_Fold2_lumpy_without_lag,lumpy,L6_State_Category,9,0.08333333333333334,0.10062171373069527,28,28,1.2074605647683432,1.201557799161571,2,without_lag,lag,0.005902765606772276,True
Step17_Fold2_lumpy_without_lag,lumpy,L7_State_Department,21,0.08333333333333333,0.11143504128636621,28,28,1.3372204954363947,1.3074902011488745,2,without_lag,lag,0.029730294287520165,True
Step17_Fold2_lumpy_without_lag,lumpy,L8_Store_Category,30,0.08333333333333334,0.10706337416372332,28,28,1.2847604899646796,1.269733558568452,2,without_lag,lag,0.015026931396227683,True
Step17_Fold2_lumpy_without_lag,lumpy,L9_Store_Department,59,0.08333333333333333,0.10390100293756654,28,28,1.2468120352507985,1.2253307012783996,2,without_lag,lag,0.02148133397239893,True
Step17_Fold2_lumpy_without_price,lumpy,L10_Item,182,0.08333333333333333,0.09717061252595902,28,28,1.1660473503115083,1.1186990988394083,2,without_price,price,0.04734825147209998,True
Step17_Fold2_lumpy_without_price,lumpy,L11_Item_State,197,0.08333333333333333,0.09672782792285368,28,28,1.1607339350742443,1.1131907521090254,2,without_price,price,0.047543182965218866,True
Step17_Fold2_lumpy_without_price,lumpy,L12_Item_Store,200,0.08333333333333333,0.09704059339870863,28,28,1.1644871207845036,1.1167441796691282,2,without_price,price,0.04774294111537536,True
