fold,demand_type,ablation_name,removed_feature_group,removed_features,removed_feature_count,retained_feature_count,selected_rounds,train_end,test_start,test_end,full_xgb_wrmsse,full_xgb_mae,full_xgb_rmse
4,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,150,2016-03-27,2016-03-28,2016-04-24,0.6447701367353782,3.4879937971622814,5.359453992391577
4,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,810,2016-03-27,2016-03-28,2016-04-24,0.9247359801043784,0.7658029965670747,1.639729202049562
4,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,810,2016-03-27,2016-03-28,2016-04-24,0.9247359801043784,0.7658029965670747,1.639729202049562
4,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,810,2016-03-27,2016-03-28,2016-04-24,0.9247359801043784,0.7658029965670747,1.639729202049562
4,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,810,2016-03-27,2016-03-28,2016-04-24,0.9247359801043784,0.7658029965670747,1.639729202049562
4,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,810,2016-03-27,2016-03-28,2016-04-24,0.9247359801043784,0.7658029965670747,1.639729202049562
4,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,380,2016-03-27,2016-03-28,2016-04-24,0.8492182621500002,1.39940153109708,2.5391843759752915
4,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,380,2016-03-27,2016-03-28,2016-04-24,0.8492182621500002,1.39940153109708,2.5391843759752915
4,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,380,2016-03-27,2016-03-28,2016-04-24,0.8492182621500002,1.39940153109708,2.5391843759752915
4,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,380,2016-03-27,2016-03-28,2016-04-24,0.8492182621500002,1.39940153109708,2.5391843759752915
4,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,380,2016-03-27,2016-03-28,2016-04-24,0.8492182621500002,1.39940153109708,2.5391843759752915
4,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,400,2016-03-27,2016-03-28,2016-04-24,0.5388673909676954,2.624678176266384,4.204688826686091
4,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,400,2016-03-27,2016-03-28,2016-04-24,0.5388673909676954,2.624678176266384,4.204688826686091
4,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,400,2016-03-27,2016-03-28,2016-04-24,0.5388673909676954,2.624678176266384,4.204688826686091
4,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,400,2016-03-27,2016-03-28,2016-04-24,0.5388673909676954,2.624678176266384,4.204688826686091
4,smooth,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,400,2016-03-27,2016-03-28,2016-04-24,0.5388673909676954,2.624678176266384,4.204688826686091
5,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,150,2016-04-24,2016-04-25,2016-05-22,0.7217048954332584,3.2345626298882832,5.278287345291492
5,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,150,2016-04-24,2016-04-25,2016-05-22,0.7217048954332584,3.2345626298882832,5.278287345291492
5,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,150,2016-04-24,2016-04-25,2016-05-22,0.7217048954332584,3.2345626298882832,5.278287345291492
5,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,150,2016-04-24,2016-04-25,2016-05-22,0.7217048954332584,3.2345626298882832,5.278287345291492
5,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,150,2016-04-24,2016-04-25,2016-05-22,0.7217048954332584,3.2345626298882832,5.278287345291492
5,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,460,2016-04-24,2016-04-25,2016-05-22,1.2779566524008916,0.8152679966779605,1.9743166096752205
5,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,460,2016-04-24,2016-04-25,2016-05-22,1.2779566524008916,0.8152679966779605,1.9743166096752205
5,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,460,2016-04-24,2016-04-25,2016-05-22,1.2779566524008916,0.8152679966779605,1.9743166096752205
5,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,460,2016-04-24,2016-04-25,2016-05-22,1.2779566524008916,0.8152679966779605,1.9743166096752205
5,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,460,2016-04-24,2016-04-25,2016-05-22,1.2779566524008916,0.8152679966779605,1.9743166096752205
5,lumpy,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,450,2016-04-24,2016-04-25,2016-05-22,1.1351837026603606,1.4687653336917823,2.764840396805765
5,lumpy,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,450,2016-04-24,2016-04-25,2016-05-22,1.1351837026603606,1.4687653336917823,2.764840396805765
5,lumpy,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,450,2016-04-24,2016-04-25,2016-05-22,1.1351837026603606,1.4687653336917823,2.764840396805765
5,lumpy,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,450,2016-04-24,2016-04-25,2016-05-22,1.1351837026603606,1.4687653336917823,2.764840396805765
5,lumpy,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,450,2016-04-24,2016-04-25,2016-05-22,1.1351837026603606,1.4687653336917823,2.764840396805765
5,smooth,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,185,2016-04-24,2016-04-25,2016-05-22,0.6304336320589443,2.4941884126585503,3.899229938630924
5,smooth,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,185,2016-04-24,2016-04-25,2016-05-22,0.6304336320589443,2.4941884126585503,3.899229938630924
5,smooth,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,185,2016-04-24,2016-04-25,2016-05-22,0.6304336320589443,2.4941884126585503,3.899229938630924
5,smooth,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,185,2016-04-24,2016-04-25,2016-05-22,0.6304336320589443,2.4941884126585503,3.899229938630924
5,smooth,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,185,2016-04-24,2016-04-25,2016-05-22,0.6304336320589443,2.4941884126585503,3.899229938630924
