demand_type,removed_feature_group,level,folds,mean_full_level_wrmsse,mean_ablation_level_wrmsse,mean_delta_level_wrmsse,median_delta_level_wrmsse,folds_removal_worsened_level
erratic,calendar,L5_Department,5,0.6697866641933178,0.8429354196057762,0.17314875541245853,0.17162062430860625,5
erratic,calendar,L6_State_Category,5,0.7039504425300483,0.8189672274140106,0.11501678488396225,0.11358400677162805,4
erratic,calendar,L7_State_Department,5,0.8259475025815822,0.9136036166147177,0.08765611403313547,0.05674689837590641,4
erratic,calendar,L8_Store_Category,5,0.8096282478769796,0.8678074744904496,0.05817922661347004,0.05683638346469,4
erratic,calendar,L9_Store_Department,5,0.931470184881228,0.9859015482775042,0.05443136339627637,0.006217051724403011,4
erratic,calendar,L10_Item,5,0.9742995797761369,1.01456365568891,0.040264075912773124,-0.0008248301521317503,2
erratic,calendar,L11_Item_State,5,0.995245923331775,1.0289354790668925,0.03368955573511758,-0.002642705579684601,2
erratic,calendar,L12_Item_Store,5,1.0006494237868067,1.0306286909914215,0.029979267204614902,-0.002606700992389799,2
erratic,event_snap,L1_Total,5,0.5550808376071213,0.5244600880955896,-0.030620749511531698,-0.019735046853405547,2
erratic,event_snap,L2_State,5,0.6406842254305806,0.6189654624059218,-0.021718763024658805,-0.012172256540649018,2
erratic,event_snap,L3_Store,5,0.7806084607779493,0.7759111528686182,-0.004697307909331006,0.0019487356085011731,3
erratic,event_snap,L4_Category,5,0.6379573118836638,0.6271964764534065,-0.010760835430257253,-0.004626309673786633,2
erratic,event_snap,L5_Department,5,0.6697866641933178,0.6589214649331941,-0.010865199260123637,-0.007570262525404159,2
erratic,event_snap,L6_State_Category,5,0.7039504425300483,0.6976068633934076,-0.00634357913664072,-0.0012577992844381436,2
erratic,event_snap,L7_State_Department,5,0.8259475025815822,0.814718269105901,-0.0112292334756813,-0.019699159369046204,1
erratic,event_snap,L8_Store_Category,5,0.8096282478769796,0.819702584426507,0.01007433654952743,0.005566444649794389,3
erratic,event_snap,L9_Store_Department,5,0.931470184881228,0.9409804356913074,0.009510250810079567,-0.001952492330616895,2
erratic,event_snap,L10_Item,5,0.9742995797761369,0.9837786266585112,0.00947904688237442,-0.006941582547115521,2
erratic,event_snap,L11_Item_State,5,0.995245923331775,1.0047272617522345,0.009481338420459529,-0.0024884420811566166,2
erratic,event_snap,L12_Item_Store,5,1.0006494237868067,1.0102895397864362,0.009640115999629616,-0.0026270151557421517,2
erratic,price,L1_Total,5,0.5550808376071213,0.575680859990174,0.020600022383052786,-0.005420067595963363,2
erratic,price,L2_State,5,0.6406842254305806,0.6516466881148864,0.010962462684305762,0.008678206065535043,3
erratic,price,L3_Store,5,0.7806084607779493,0.7465378121745614,-0.03407064860338782,-0.016889741032111938,1
erratic,price,L4_Category,5,0.6379573118836638,0.6356189357160327,-0.00233837616763114,-0.005328146476514417,2
erratic,price,L5_Department,5,0.6697866641933178,0.6767096522434489,0.006922988050131118,0.0036773840113024647,3
erratic,price,L6_State_Category,5,0.7039504425300483,0.7012820538698057,-0.0026683886602427266,0.01164582439032491,3
erratic,price,L7_State_Department,5,0.8259475025815822,0.8384974727774696,0.012549970195887283,-0.0032914094392995086,2
erratic,price,L8_Store_Category,5,0.8096282478769796,0.7711827118752723,-0.03844553600170728,-0.019448178840321795,1
erratic,price,L9_Store_Department,5,0.931470184881228,0.9500209069625158,0.018550722081288006,-0.005558922943573408,2
erratic,price,L10_Item,5,0.9742995797761369,0.9938003851194328,0.019500805343296013,-0.007815757619270114,2
erratic,price,L11_Item_State,5,0.995245923331775,1.0144956184592886,0.019249695127513643,-0.005072841976058173,2
erratic,price,L12_Item_Store,5,1.0006494237868067,1.0202001192246866,0.019550695437879816,-0.006144557191972155,2
intermittent,lag,L1_Total,5,1.803244263047921,1.600377232351746,-0.20286703069617476,-0.209267782840581,0
intermittent,lag,L2_State,5,1.516901039470526,1.3836244344795599,-0.13327660499096622,-0.1496427769691484,0
intermittent,lag,L3_Store,5,1.2290797195091554,1.1560912449638967,-0.07298847454525874,-0.08094498002454742,0
intermittent,lag,L4_Category,5,1.498689122113235,1.3595551653641413,-0.13913395674909357,-0.1482260479235713,0
intermittent,lag,L5_Department,5,1.325792885528149,1.2398941413421274,-0.08589874418602148,-0.08919266440517404,0
intermittent,lag,L6_State_Category,5,1.2756879404549093,1.187508280471937,-0.08817965998297231,-0.10323920189320535,0
intermittent,lag,L7_State_Department,5,1.1578624553726828,1.0958695693965836,-0.06199288597609907,-0.070789061455236,0
intermittent,lag,L8_Store_Category,5,1.0576193074838067,1.0173787441460536,-0.040240563337753145,-0.031004234469220737,0
intermittent,lag,L9_Store_Department,5,1.0043907347319467,0.9779282710682533,-0.026462463663693425,-0.014375513126495099,2
intermittent,lag,L10_Item,5,0.8874435461365959,0.8740513433508298,-0.013392202785766116,0.0012678986988681196,3
intermittent,lag,L11_Item_State,5,0.8855107178520285,0.8725975756226848,-0.012913142229343588,0.00221555411239005,3
intermittent,lag,L12_Item_Store,5,0.8722334675693311,0.8665054251563857,-0.005728042412945489,0.004121498989627659,3
intermittent,rolling,L1_Total,5,1.803244263047921,1.6727074494001108,-0.13053681364781014,-0.07585220525847647,2
intermittent,rolling,L2_State,5,1.516901039470526,1.4087493157161233,-0.10815172375440293,-0.03827440712828567,2
intermittent,rolling,L3_Store,5,1.2290797195091554,1.1606041462253684,-0.06847557328378691,-0.02806362654843375,1
intermittent,rolling,L4_Category,5,1.498689122113235,1.3889945918923345,-0.10969453022090032,-0.05573372301804258,2
intermittent,rolling,L5_Department,5,1.325792885528149,1.2745871478950945,-0.05120573763305447,-0.005027268376050831,2
intermittent,rolling,L6_State_Category,5,1.2756879404549093,1.2056121048122719,-0.07007583564263734,-0.00776090962021958,2
intermittent,rolling,L7_State_Department,5,1.1578624553726828,1.1241058623967208,-0.0337565929759621,-0.009286591818000733,2
intermittent,rolling,L8_Store_Category,5,1.0576193074838067,1.0313604995371022,-0.026258807946704522,-0.013219213133491836,2
intermittent,rolling,L9_Store_Department,5,1.0043907347319467,0.9901527652149664,-0.01423796951698042,-0.00561605324600456,2
intermittent,rolling,L10_Item,5,0.8874435461365959,0.8872714007880405,-0.0001721453485554525,-0.0005512247755528055,2
intermittent,rolling,L11_Item_State,5,0.8855107178520285,0.885785465246383,0.00027474739435453535,0.001295218260196851,3
intermittent,rolling,L12_Item_Store,5,0.8722334675693311,0.8795665762478645,0.007333108678533362,0.003167560390250901,3
intermittent,calendar,L1_Total,5,1.803244263047921,1.7945260811078398,-0.00871818194008105,0.2217035179019342,4
intermittent,calendar,L2_State,5,1.516901039470526,1.5176818947627735,0.0007808552922472511,0.1421434327439568,4
intermittent,calendar,L3_Store,5,1.2290797195091554,1.2357164300365395,0.006636710527384082,0.08227363216477435,4
intermittent,calendar,L4_Category,5,1.498689122113235,1.4831828778204208,-0.015506244292814109,0.14732883643604477,4
intermittent,calendar,L5_Department,5,1.325792885528149,1.321650021483452,-0.004142864044696992,0.1038118663071741,4
intermittent,calendar,L6_State_Category,5,1.2756879404549093,1.2765032219476133,0.0008152814927038898,0.09360084974269833,4
intermittent,calendar,L7_State_Department,5,1.1578624553726828,1.179463116783397,0.02160066141071426,0.08113611908242468,4
intermittent,calendar,L8_Store_Category,5,1.0576193074838067,1.0667806511623577,0.009161343678550815,0.05043410125741765,4
intermittent,calendar,L9_Store_Department,5,1.0043907347319467,1.0230189686506124,0.01862823391866566,0.04613893897185517,4
intermittent,calendar,L10_Item,5,0.8874435461365959,0.9066994482272911,0.019255902090695165,0.02183869145728745,4
intermittent,calendar,L11_Item_State,5,0.8855107178520285,0.9048749755078964,0.019364257655867977,0.021052332611697144,4
intermittent,calendar,L12_Item_Store,5,0.8722334675693311,0.8890517708613089,0.01681830329197782,0.021094380488844267,4
intermittent,event_snap,L1_Total,5,1.803244263047921,1.692278431860931,-0.11096583118698991,-0.08515866176263898,1
intermittent,event_snap,L2_State,5,1.516901039470526,1.4337001103464875,-0.08320092912403884,-0.0645901551188528,1
intermittent,event_snap,L3_Store,5,1.2290797195091554,1.1787953804716405,-0.05028433903751488,-0.0639318936349732,0
intermittent,event_snap,L4_Category,5,1.498689122113235,1.410659550345203,-0.08802957176803188,-0.06124914939455217,1
intermittent,event_snap,L5_Department,5,1.325792885528149,1.2609420617064833,-0.0648508238216657,-0.04515690707929487,0
intermittent,event_snap,L6_State_Category,5,1.2756879404549093,1.2131192627237717,-0.06256867773113776,-0.08719456647463264,1
intermittent,event_snap,L7_State_Department,5,1.1578624553726828,1.1133516924355487,-0.044510762937134116,-0.0608250045235752,1
intermittent,event_snap,L8_Store_Category,5,1.0576193074838067,1.0262027574286277,-0.03141655005517907,-0.03338730065602569,0
intermittent,event_snap,L9_Store_Department,5,1.0043907347319467,0.9804437346438538,-0.02394700008809294,-0.016674852453076205,1
intermittent,event_snap,L10_Item,5,0.8874435461365959,0.8720918923361867,-0.015351653800409194,-0.00464623544545828,1
intermittent,event_snap,L11_Item_State,5,0.8855107178520285,0.8708480605033279,-0.014662657348700536,-0.004315138320437617,1
intermittent,event_snap,L12_Item_Store,5,0.8722334675693311,0.8615075941423773,-0.010725873426953858,-0.004313095433378877,1
intermittent,price,L1_Total,5,1.803244263047921,1.9162409690526272,0.11299670600470639,0.2639531140821969,3
intermittent,price,L2_State,5,1.516901039470526,1.5788021721159144,0.06190113264538821,0.1748134206719778,3
intermittent,price,L3_Store,5,1.2290797195091554,1.2421188390877282,0.013039119578572667,-0.02517818861782728,2
intermittent,price,L4_Category,5,1.498689122113235,1.570795426331209,0.072106304217974,0.2012120720155519,3
