demand_type,feature_group,mean_importance_share,standard_deviation_share,minimum_importance_share,maximum_importance_share,mean_model_rank,importance_rank,folds,mean_full_xgb_wrmsse,mean_ablation_wrmsse,mean_delta_wrmsse,median_delta_wrmsse,minimum_delta_wrmsse,maximum_delta_wrmsse,standard_deviation_delta_wrmsse,folds_removal_worsened,folds_removal_improved,folds_no_change,change_from_mean_scores_percentage,mean_importance_percentage,standard_deviation_percentage,comparison_pattern,fold_consistency
intermittent,rolling,0.7083985268819026,0.07671749954376385,0.5924820074761946,0.8059876070629917,1.0,1,5,1.2095379332725238,1.159124777114365,-0.050413156158159,0.0034324785763559,-0.2749637309854742,0.0247579442479088,0.127472363402378,3,2,0,-4.16796817787775,70.83985268819026,7.671749954376385,High model reliance but negative mean ablation effect,Mixed fold-level direction
intermittent,calendar,0.13813789474041918,0.0684463200764953,0.07495385114696589,0.25528312094900035,2.0,2,5,1.2095379332725238,1.2165957881959586,0.007057854923434598,0.0820309075489393,-0.3969658394645829,0.1725650866305645,0.22909350345593557,4,1,0,0.5835166247609017,13.813789474041918,6.84463200764953,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE
intermittent,price,0.07069806265229261,0.009820814500684468,0.06150492668328283,0.08654186300294821,3.2,3,5,1.2095379332725238,1.2361952780975682,0.026657344825044303,0.0396618661235204,-0.0945136648400997,0.1271671512589911,0.09972448805475394,3,2,0,2.2039279704870633,7.0698062652292615,0.9820814500684468,Lower model reliance and positive mean ablation effect,Mixed fold-level direction
intermittent,lag,0.05916704748286663,0.01719370616494586,0.02956399898591611,0.07308803338956263,3.8,4,5,1.2095379332725238,1.1359484523095165,-0.07358948096300735,-0.0860299400774797,-0.1057919366762797,-0.0090440536732283,0.03862339133687958,0,5,0,-6.084098641197947,5.916704748286663,1.719370616494586,Lower model reliance and negative mean ablation effect,Removal improved WRMSSE in all five folds
intermittent,event_snap,0.023598468242519023,0.006048375080430061,0.017641911501959675,0.031637396095058674,5.0,5,5,1.2095379332725238,1.1594950440787033,-0.05004288919382066,-0.0542234594245149,-0.0831345297010626,0.0022288121262532,0.036155793001843316,1,4,0,-4.137355912304851,2.3598468242519024,0.6048375080430061,Lower model reliance and negative mean ablation effect,Removal usually improved WRMSSE
lumpy,rolling,0.7218992992914346,0.035476717615293675,0.663405751117694,0.7524045596865405,1.0,1,5,1.1275137532987098,1.0800784658048148,-0.047435287493895015,-0.0768647112322151,-0.1860872836540625,0.0899793645561201,0.1087962108868397,2,3,0,-4.207069523996138,72.18992992914346,3.5476717615293674,High model reliance but negative mean ablation effect,Mixed fold-level direction
lumpy,calendar,0.1139171112995467,0.028348478558539867,0.09333989821258969,0.16350166473855265,2.0,2,5,1.1275137532987098,1.1725030101982763,0.044989256899566454,0.0954553264564661,-0.2300705102122113,0.1597842648602258,0.15791526466988115,4,1,0,3.9901293237393927,11.39171112995467,2.8348478558539867,High model reliance and positive mean ablation effect,Removal usually worsened WRMSSE
lumpy,lag,0.06755590059636475,0.010677517365525357,0.053259242446012274,0.08286648009817313,3.0,3,5,1.1275137532987098,1.1195882313187213,-0.007925521979988484,0.0206918637845555,-0.1995560617043934,0.0819212622852283,0.11022221244036493,4,1,0,-0.7029202044588091,6.755590059636475,1.0677517365525357,Lower model reliance and negative mean ablation effect,Removal usually worsened WRMSSE
lumpy,price,0.055021784348581924,0.0032343380344891735,0.049556726216340254,0.05811992499302747,4.0,4,5,1.1275137532987098,1.2225061710574388,0.09499241775872899,0.1062341546738405,0.013286201271085,0.2022164994992534,0.07786301905608682,5,0,0,8.424945370361513,5.502178434858193,0.32343380344891737,Lower model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds
lumpy,event_snap,0.04160590446407199,0.006188897766084188,0.03210617905255271,0.04656386842315634,5.0,5,5,1.1275137532987098,1.203410918788229,0.075897165489519,0.0619389806201708,0.0035653951200023,0.1633724546990327,0.07407912848103212,5,0,0,6.731373809629418,4.160590446407199,0.6188897766084188,Lower model reliance and positive mean ablation effect,Removal worsened WRMSSE in all five folds
