fold,demand_type,feature_group,mean_absolute_shap,importance_share,feature_count,importance_rank
2,lumpy,rolling,1.0895058888718225,0.7524045596865405,4,1
2,lumpy,calendar,0.14521481737094893,0.100284258983757,4,2
2,lumpy,lag,0.07712108803003112,0.053259242446012274,4,3
2,lumpy,price,0.07175972600219901,0.049556726216340254,3,4
2,lumpy,event_snap,0.06443049235092108,0.044495212667349876,3,5
2,smooth,rolling,0.864666502447913,0.6915286664200558,4,1
2,smooth,calendar,0.15783135145872929,0.12622774640226686,4,2
2,smooth,lag,0.12174889354296978,0.09737031531987556,4,3
2,smooth,event_snap,0.06887901681842419,0.055086920228691064,3,4
2,smooth,price,0.03724395203623038,0.02978635162911078,3,5
3,erratic,rolling,0.6387019544139724,0.6407930856366124,4,1
3,erratic,calendar,0.15947369129568123,0.159995813410313,4,2
3,erratic,lag,0.09500593632479437,0.09531698888759296,4,3
3,erratic,event_snap,0.061752486520451275,0.061954666194000356,3,4
3,erratic,price,0.04180258283926708,0.04193944587148121,3,5
3,intermittent,rolling,1.4170431598708624,0.6970050949126342,4,1
3,intermittent,calendar,0.25411931157140966,0.12499439671061616,4,2
3,intermittent,price,0.17594355608861148,0.08654186300294821,3,3
3,intermittent,lag,0.1302333443922002,0.06405824969872308,4,4
3,intermittent,event_snap,0.05570625459200118,0.027400395675078498,3,5
3,lumpy,rolling,1.1034964648598724,0.7211943141363064,4,1
3,lumpy,calendar,0.16831312614254468,0.11000168413219556,4,2
3,lumpy,lag,0.10146263783324781,0.06631129308774147,4,3
3,lumpy,price,0.08610523399987398,0.05627440336745517,3,4
3,lumpy,event_snap,0.0707184395169451,0.0462183052763015,3,5
3,smooth,rolling,0.9506064446554514,0.6948397969272998,4,1
3,smooth,calendar,0.16961290246024996,0.1239774833889815,4,2
3,smooth,lag,0.12618064234014315,0.09223094624774962,4,3
3,smooth,event_snap,0.07048820154562577,0.05152290721686127,3,4
3,smooth,price,0.051206222788867314,0.03742886621910785,3,5
4,erratic,rolling,0.6586081583527292,0.692924958561932,4,1
4,erratic,calendar,0.13449610612655907,0.1415040302531062,4,2
4,erratic,lag,0.07863999127984844,0.0827375306664752,4,3
4,erratic,event_snap,0.0511927545300445,0.05386015472405399,3,4
4,erratic,price,0.02753843472809381,0.028973325794432597,3,5
4,intermittent,rolling,1.4101959412481846,0.7255562999556371,4,1
4,intermittent,calendar,0.22289584284266895,0.11468156890685437,4,2
4,intermittent,price,0.14255444822378993,0.07334532384479986,3,3
4,intermittent,lag,0.1330384831045138,0.06844928901694626,4,4
4,intermittent,event_snap,0.03492178532297502,0.017967518275762477,3,5
4,lumpy,rolling,1.163893868704924,0.7478686488968124,4,1
4,lumpy,calendar,0.14526312260238122,0.09333989821258969,4,2
4,lumpy,lag,0.10096156625177521,0.06487360417770512,4,3
4,lumpy,price,0.08601860244640445,0.05527189181189331,3,4
4,lumpy,event_snap,0.06014397361576552,0.03864595690099952,3,5
4,smooth,rolling,0.9134663069551847,0.7069777543963595,4,1
4,smooth,calendar,0.1632254854356463,0.12632845489199893,4,2
4,smooth,lag,0.1183571872925677,0.09160261068378303,4,3
4,smooth,event_snap,0.05632742581090351,0.043594642415939494,3,4
4,smooth,price,0.040695800844257744,0.0314965376119191,3,5
5,erratic,rolling,0.8140590130415164,0.7174274560091694,4,1
5,erratic,calendar,0.14340507227416568,0.12638240536895676,4,2
5,erratic,lag,0.08084531280790519,0.07124870085442189,4,3
5,erratic,event_snap,0.05923770212169976,0.052205986608040454,3,4
5,erratic,price,0.037144646248329256,0.032735451159411635,3,5
5,intermittent,rolling,1.2043468499643288,0.7209616250020555,4,1
5,intermittent,calendar,0.2017539292290769,0.1207765359886591,4,2
5,intermittent,price,0.11016564348511024,0.06594877659104158,3,3
5,intermittent,lag,0.10135705573178923,0.060675666323185086,4,4
5,intermittent,event_snap,0.052849412516302846,0.031637396095058674,3,5
5,lumpy,rolling,1.1178794893297956,0.72462322261982,4,1
5,lumpy,calendar,0.15806249305540243,0.10245805043063852,4,2
5,lumpy,lag,0.10871266152547962,0.07046888317219177,4,3
5,lumpy,price,0.08621554435389758,0.05588597535419343,3,4
5,lumpy,event_snap,0.071834288260739,0.04656386842315634,3,5
5,smooth,rolling,0.8640129943683305,0.7257217233959589,4,1
5,smooth,calendar,0.1331844855633268,0.1118673851233973,4,2
5,smooth,lag,0.09459300108189041,0.07945273533360823,4,3
