fold,demand_type,feature,feature_group,mean_absolute_shap,median_absolute_shap,mean_signed_shap,importance_share,importance_rank
3,smooth,rolling_std_28,rolling,0.07898148151299471,0.034504234790802,-0.06755488233687174,0.05773101674625998,3
3,smooth,is_weekend,calendar,0.06694248499080589,0.05375850200653076,-0.006402135457174154,0.04893118802037951,4
3,smooth,weekday,calendar,0.055926169005410885,0.059517042711377144,-0.009779605818992293,0.04087888119538923,5
3,smooth,rolling_std_7,rolling,0.053325676134645617,0.03580476529896259,0.02384624211654747,0.03897806730085652,6
3,smooth,snap_flag,event_snap,0.04917185551370494,0.0425063855946064,-0.0004452901444996574,0.035941858265083594,7
3,smooth,sell_price,price,0.041784393843065246,0.018657060340046883,-0.02059224635483913,0.030542039658871648,8
3,smooth,lag_56,lag,0.03688682367376389,0.029352121986448765,-0.017661918647236884,0.026962191572413547,9
3,smooth,lag_7,lag,0.03505459104350978,0.007149685872718692,-0.007676811178398566,0.025622932664705663,10
3,smooth,lag_28,lag,0.029097839296218442,0.021234983578324318,-0.0021112314911763976,0.02126888247105856,11
3,smooth,year,calendar,0.026944081689958432,0.007148462114855647,-0.026181587120532056,0.019694606906046217,12
3,smooth,lag_14,lag,0.02514138832665103,0.022326041013002396,-0.014912560774285493,0.018376939539571854,13
3,smooth,month,calendar,0.019800166774074746,0.004970907000824809,-0.009571373732908098,0.014472807267166541,14
3,smooth,event_flag,event_snap,0.013470722147249035,0.004389667417854071,-0.005096410056615111,0.009846339559218055,15
3,smooth,event_type_encoded,event_snap,0.007845623884671795,0.002945380168966949,-0.003935226868124541,0.0057347093925596195,16
3,smooth,price_vs_28d_avg,price,0.005329419720944039,0.0016317482804879546,-0.0020815590273195184,0.003895505797862852,17
3,smooth,price_change,price,0.004092409224858033,0.000786501623224467,-0.003666934092623799,0.0029913207623733498,18
4,erratic,rolling_mean_7,rolling,0.4346391002432418,0.3739255219697952,-0.2595840236267707,0.45728598515803026,1
4,erratic,rolling_mean_28,rolling,0.10382883866167374,0.08692282438278198,-0.04021265509808342,0.10923884378705505,2
4,erratic,is_weekend,calendar,0.07297883291258976,0.05731946788728237,-0.005001702801632096,0.07678139745237013,3
4,erratic,rolling_std_28,rolling,0.0663835171559653,0.04236976243555546,-0.050447097089593496,0.0698424325467543,4
4,erratic,rolling_std_7,rolling,0.05375670229184834,0.019122290425002575,-0.02690812376269865,0.056557697070092436,5
4,erratic,snap_flag,event_snap,0.04931125846458599,0.042822340503335,0.0007368117950058409,0.05188062324291792,6
4,erratic,weekday,calendar,0.04729213857606347,0.0541354063898325,-0.004988376306507365,0.049756297044795235,7
4,erratic,sell_price,price,0.023792722940971935,0.015632707625627518,0.0004480786897381352,0.02503244356884938,8
4,erratic,lag_56,lag,0.023124922936676416,0.023312745615839958,-0.007171922648924464,0.024329847822903115,9
4,erratic,lag_7,lag,0.021768400746520422,0.007070794235914946,-0.007338935570851228,0.022902643998472555,10
4,erratic,lag_28,lag,0.017185517918331113,0.01647927239537239,-0.005028991724070692,0.018080969906612124,11
4,erratic,lag_14,lag,0.01656114967832049,0.015350036323070526,-0.0070737279468533285,0.017424068938487403,12
4,erratic,year,calendar,0.008701525007760275,0.006614633835852146,-0.008313842368944993,0.00915491826051553,13
4,erratic,month,calendar,0.005523609630145561,0.0043317044619470835,0.0013676689212903576,0.005811417495425323,14
4,erratic,price_change,price,0.0019142210137790374,0.0008488541061524302,-0.0014806979725871575,0.0020139615639878485,15
4,erratic,price_vs_28d_avg,price,0.0018314907733428397,0.0008635581179987639,-0.0009026818763885558,0.0019269206615953683,16
4,erratic,event_flag,event_snap,0.0014885846416577157,0.0013946405379101634,0.0014805522552004341,0.0015661473944028723,17
4,erratic,event_type_encoded,event_snap,0.0003929114238007969,0.0002859813830582425,0.00034525307180428757,0.00041338408673319873,18
4,intermittent,rolling_mean_28,rolling,0.6064595668519386,0.5267680585384369,-0.2498504441062791,0.3120279576243301,1
4,intermittent,rolling_mean_7,rolling,0.48843046660605716,0.3778131902217865,-0.36172292663869615,0.2513011077188507,2
4,intermittent,rolling_std_28,rolling,0.21609548207253412,0.13584847748279572,-0.11044839196456971,0.11118273271365466,3
4,intermittent,sell_price,price,0.13162873004968786,0.08704971894621849,0.02289218085454195,0.0677239605853488,4
4,intermittent,rolling_std_7,rolling,0.0992104257176548,0.08615311235189438,-0.07250070677897384,0.051044501898801546,5
4,intermittent,is_weekend,calendar,0.08682436310765167,0.07332126051187515,-0.010497295861319538,0.044671780565921804,6
4,intermittent,year,calendar,0.052427587879272194,0.027369803749024868,-0.0024803057404272164,0.02697438388853589,7
4,intermittent,weekday,calendar,0.05008686488774531,0.04875442385673523,-0.019568050390375253,0.025770064500515156,8
4,intermittent,lag_28,lag,0.0415780693978851,0.031304189935326576,-0.010852913329687389,0.021392225937713852,9
4,intermittent,lag_7,lag,0.03767330441430723,0.03282701596617699,0.01352167655973582,0.01938319531238568,10
4,intermittent,month,calendar,0.03355702696799978,0.025097915902733803,-0.027800398838111764,0.017265339951881523,11
4,intermittent,lag_56,lag,0.032117181936359235,0.01945302076637745,-0.017723968538496462,0.016524528974407034,12
4,intermittent,snap_flag,event_snap,0.02664167552524337,0.023909827694296837,-0.0021770682978724054,0.01370734020238701,13
4,intermittent,lag_14,lag,0.021669927355962224,0.0190690690651536,-0.0015255135854753885,0.011149338792439694,14
4,intermittent,price_vs_28d_avg,price,0.006927179401306073,0.004538017092272639,-0.0036583110632469433,0.0035640853221375057,15
4,intermittent,event_flag,event_snap,0.005461485048598271,0.004960162797942758,0.005153109468653513,0.0028099746767223186,16
